SeismicWaveAmplitude_mm,SeismicFrequency_Hz,SeismicVelocity_m_s,ElectricalChange_uV,GroundWaterChange_m,AnimalActivityDuration_min
0.0003,2.4,5000,30,0.5,0
0.0005,1.5,4700,30,0.2,0
0.0002,2.0,5200,30,0.4,1
0.0003,2.8,4900,30,0.5,0
0.00035,1.8,5100,30,0.5,0
0.0006,2.1,5300,30,0.6,0
0.00025,2.5,4800,30,0.5,0
0.00045,1.9,5000,30,0.4,0
0.00032,2.3,4950,30,0.4,0
0.00055,1.6,4750,30,1.0,0
0.00022,2.1,5250,30,0.5,0
0.00042,2.9,4920,30,0.5,0
0.00037,1.7,5120,30,0.5,0
0.00062,2.2,5320,30,0.5,0
0.00026,2.6,4820,30,0.5,0
0.00046,1.8,5020,30,0.5,0
0.00033,2.4,4970,30,0.4,0
0.00056,1.4,4730,30,0.5,1
0.00023,1.9,5270,30,0.4,0
0.00043,3.0,4930,30,0.5,1
0.0003,2.4,5000,30,0.5,2
0.0005,1.5,4700,25,0.5,3
0.0002,2.0,5200,30,0.4,1
0.0004,2.8,4900,30,0.5,1
0.00035,1.8,5100,28,0.5,3
0.0006,2.1,5300,30,0.6,4
0.00025,2.5,4800,30,0.5,0
0.00045,1.9,5000,31,0.5,0
0.00032,2.3,4950,29,0.4,0
0.00055,1.6,4750,26,0.5,1
0.00022,2.1,5250,34,0.5,0
0.00042,2.9,4920,30,0.5,0
0.00037,1.7,5120,30,0.5,0
0.00062,2.2,5320,30,0.5,1
0.00026,2.6,4820,30,0.5,0
0.00046,1.8,5020,30,0.5,0
0.00033,2.4,4970,30,0.4,1
0.00056,1.4,4730,30,0.5,0
0.00023,1.9,5270,30,0.5,0
0.00043,3.0,4930,30,0.5,0
0.00031,2.2,5000,30,0.5,0
0.00048,1.7,4850,30,0.5,1
0.00027,2.3,5150,30,0.5,2
0.00041,2.7,4950,30,0.6,0
0.00034,1.9,5080,30,0.5,0
0.00058,2.0,5350,30,0.5,0
0.00024,2.4,4750,30,0.5,0
0.00044,2.0,5010,30,0.5,1
0.00029,2.5,4980,30,0.4,0
0.00053,1.5,4700,30,0.5,0
0.00021,1.8,5230,30,0.5,0
0.00039,3.0,4940,30,0.6,0
0.00036,2.1,5110,30,0.5,1
0.00059,2.3,5330,30,0.5,0
0.00028,2.7,4840,30,0.5,0
0.00047,1.9,5030,30,0.5,0
0.00034,2.5,4990,30,0.4,0
0.00057,1.3,4710,30,0.5,1
0.00025,2.0,5290,31,0.4,0
0.0004,2.8,4910,30,0.5,0